File_ID,Province,Lender,Refi_Type,Professional,Disbursement,Date_Received,Maturity_Date,Date_Funded,Delay_Reason,Funds_Confirmed
FCT-700043,QC,ScotiaBank,Internal,Maitre Lavoie,571050,2025-07-24,2025-08-14,2025-08-06,None,Yes
FCT-700044,QC,TD,Internal,Maitre Belanger,724878,2025-12-11,2026-01-01,2025-12-26,None,Yes
FCT-700045,BC,BMO,Internal,Smith & Co,633020,2025-09-15,2025-09-20,2025-09-27,None,Yes
FCT-700046,AB,TD,Internal,Smith & Co,159697,2025-11-03,2025-11-11,2025-11-25,Internal: Processing Backlog,Yes
FCT-700047,NS,RBC,Internal,Smith & Co,327877,2025-10-12,2025-10-23,2025-10-26,None,Yes
FCT-700048,QC,TD,External,Maitre Cote,319780,2025-03-02,2025-03-12,2025-03-21,External: Payout Delay,Yes
FCT-700049,QC,TD,External,Maitre Cote,668179,2025-05-13,2025-05-29,2025-06-03,External: Payout Delay,Yes
FCT-700050,QC,BMO,Internal,Maitre Belanger,332381,2025-04-05,2025-04-18,2025-04-20,None,Yes
FCT-700051,NB,RBC,External,Maritime Legal,280643,2025-02-04,2025-02-25,2025-02-23,External: Payout Delay,Yes
FCT-700052,QC,BMO,Internal,Maitre Cote,310212,2025-07-01,2025-07-15,2025-07-23,Lender: Missing Docs,Yes
FCT-700053,BC,NBC,Internal,Maritime Legal,466699,2025-05-17,2025-05-24,2025-06-01,None,Yes
FCT-700054,ON,NBC,Internal,West Coast Legal,458730,2025-08-15,2025-09-02,2025-08-31,None,Yes
FCT-700055,QC,TD,Internal,Maitre Tremblay,467364,2025-07-03,2025-07-24,2025-07-15,None,Yes
FCT-700056,QC,TD,Internal,Maitre Lavoie,420736,2026-01-30,2026-02-20,2026-02-12,None,Yes
FCT-700057,AB,BMO,Internal,Maritime Legal,296390,2025-07-14,2025-07-27,2025-07-27,None,Yes
FCT-700058,ON,TD,Internal,West Coast Legal,385950,2025-05-26,2025-06-12,2025-06-11,None,Yes
FCT-700059,QC,BMO,External,Maitre Lavoie,536630,2025-04-04,2025-04-22,2025-04-28,External: Payout Delay,Yes
FCT-700060,QC,ScotiaBank,External,Maitre Belanger,399567,2025-07-04,2025-07-25,2025-07-28,External: Payout Delay,Yes
FCT-700061,QC,TD,External,Maitre Lavoie,531779,2025-11-01,2025-11-07,2025-11-21,External: Payout Delay,Yes
FCT-700062,QC,TD,Internal,Maitre Cote,195713,2025-10-27,2025-11-17,2025-11-11,None,Yes
FCT-700063,QC,RBC,External,Maitre Tremblay,499296,2025-08-24,2025-09-14,2025-09-25,External: Payout Delay,Yes
FCT-700064,ON,TD,Internal,Ontario Title Law,396223,2025-06-01,2025-06-16,2025-06-14,None,Yes
FCT-700065,QC,TD,Internal,Maitre Cote,205357,2025-09-27,2025-10-04,2025-10-11,None,Yes
FCT-700066,NB,Fairstone,Internal,West Coast Legal,619662,2025-03-12,2025-03-21,2025-03-14,None (Pre-scheduled),Yes
FCT-700067,ON,RBC,Internal,Maritime Legal,187911,2025-07-08,2025-07-23,2025-07-21,None,Yes
FCT-700068,NS,Fairstone,Internal,Smith & Co,158961,2025-09-23,2025-09-30,2025-09-25,None (Pre-scheduled),Yes
FCT-700069,BC,Fairstone,Internal,Smith & Co,236591,2025-10-12,2025-10-23,2025-10-14,None (Pre-scheduled),Yes
FCT-700070,QC,TD,Internal,Maitre Cote,655488,2025-04-06,2025-04-15,2025-04-21,None,Yes
FCT-700071,NB,RBC,Internal,Smith & Co,609975,2025-06-01,2025-06-12,2025-06-17,None,Yes
FCT-700072,QC,Fairstone,Internal,Maitre Lavoie,414371,2025-02-13,2025-02-19,2025-02-16,None (Pre-scheduled),Yes
FCT-700073,NB,BMO,Internal,Ontario Title Law,276697,2025-06-19,2025-07-04,2025-07-05,None,Yes
FCT-700074,NB,RBC,Internal,West Coast Legal,208575,2025-09-21,2025-10-03,2025-10-03,None,Yes
FCT-700075,QC,RBC,External,Maitre Lavoie,730016,2025-12-23,2026-01-07,2026-01-14,External: Payout Delay,Yes
FCT-700076,QC,BMO,Internal,Maitre Lavoie,218873,2025-05-18,2025-06-07,2025-06-03,None,Yes
FCT-700077,ON,NBC,Internal,West Coast Legal,501238,2025-11-28,2025-12-10,2025-12-15,None,Yes
FCT-700078,QC,RBC,Internal,Maitre Cote,301499,2025-09-15,2025-09-20,2025-09-30,None,Yes
FCT-700079,QC,NBC,Internal,Maitre Cote,278444,2025-09-23,2025-09-30,2025-10-09,None,Yes
FCT-700080,QC,Fairstone,Internal,Maitre Lavoie,687775,2025-05-29,2025-06-15,2025-05-31,None (Pre-scheduled),Yes
FCT-700081,ON,ScotiaBank,External,Ontario Title Law,635740,2025-11-08,2025-11-28,2025-11-27,External: Payout Delay,Yes
FCT-700082,QC,RBC,Internal,Maitre Lavoie,189332,2025-12-31,2026-01-15,2026-01-14,None,Yes
FCT-700083,QC,BMO,Internal,Maitre Belanger,629652,2026-02-04,2026-02-17,2026-02-20,None,Yes
FCT-700084,QC,ScotiaBank,Internal,Maitre Tremblay,593905,2025-03-30,2025-04-16,2025-04-16,None,Yes
FCT-700085,QC,NBC,Internal,Maitre Cote,302722,2025-01-04,2025-01-09,2025-01-16,None,Yes
FCT-700086,QC,RBC,Internal,Maitre Tremblay,182099,2025-08-19,2025-08-30,2025-09-04,None,Yes
FCT-700087,QC,NBC,External,Maitre Belanger,455352,2025-06-04,2025-06-12,2025-06-24,External: Payout Delay,Yes
FCT-700088,QC,ScotiaBank,Internal,Maitre Cote,737938,2025-12-09,2025-12-29,2025-12-23,None,Yes
FCT-700089,QC,TD,Internal,Maitre Lavoie,320400,2025-12-30,2026-01-15,2026-01-15,None,Yes
FCT-700090,QC,TD,Internal,Maitre Lavoie,476029,2025-06-01,2025-06-17,2025-06-15,None,Yes
FCT-700091,QC,ScotiaBank,Internal,Maitre Cote,187184,2025-07-09,2025-07-27,2025-07-25,None,Yes
FCT-700092,ON,NBC,Internal,West Coast Legal,719297,2025-01-11,2025-01-18,2025-01-23,None,Yes
FCT-700093,QC,TD,External,Maitre Lavoie,426254,2025-07-29,2025-08-08,2025-08-20,External: Payout Delay,Yes
FCT-700094,QC,ScotiaBank,Internal,Maitre Tremblay,499357,2025-04-26,2025-05-16,2025-05-14,Lender: Missing Docs,Yes
FCT-700095,ON,BMO,Internal,Smith & Co,183809,2025-05-31,2025-06-05,2025-06-17,None,Yes
FCT-700096,QC,Fairstone,External,Maitre Belanger,500386,2025-12-04,2025-12-12,2025-12-06,None (Pre-scheduled),Yes
FCT-700097,ON,ScotiaBank,Internal,Smith & Co,528391,2025-03-12,2025-03-28,2025-03-25,None,Yes
FCT-700098,NB,TD,Internal,Smith & Co,416337,2025-10-03,2025-10-19,2025-10-18,None,Yes
FCT-700099,AB,RBC,Internal,Smith & Co,637695,2025-10-31,2025-11-07,2025-11-12,None,Yes
FCT-700100,BC,TD,External,Maritime Legal,337246,2025-01-20,2025-01-25,2025-02-10,External: Payout Delay,Yes
FCT-700101,AB,BMO,Internal,West Coast Legal,414167,2025-02-11,2025-02-25,2025-02-28,None,Yes
FCT-700102,ON,TD,External,West Coast Legal,594197,2025-11-14,2025-11-27,2025-12-05,External: Payout Delay,Yes
FCT-700103,QC,ScotiaBank,Internal,Maitre Belanger,737368,2026-01-04,2026-01-11,2026-01-28,Internal: Processing Backlog,Yes
FCT-700104,QC,BMO,External,Maitre Belanger,506583,2025-03-14,2025-04-01,2025-04-07,External: Payout Delay,Yes
FCT-700105,QC,RBC,External,Maitre Cote,351621,2025-11-06,2025-11-27,2025-12-05,Lender: Missing Docs,Yes
FCT-700106,QC,RBC,Internal,Maitre Cote,630454,2025-04-18,2025-04-30,2025-05-01,None,Yes
FCT-700107,AB,RBC,External,Ontario Title Law,662010,2025-04-03,2025-04-14,2025-04-22,External: Payout Delay,Yes
FCT-700108,QC,NBC,Internal,Maitre Belanger,268752,2025-07-02,2025-07-10,2025-07-16,None,Yes
FCT-700109,BC,NBC,Internal,Maritime Legal,304272,2025-02-18,2025-02-24,2025-03-05,None,Yes
FCT-700110,ON,RBC,External,Maritime Legal,299394,2025-10-02,2025-10-15,2025-10-22,External: Payout Delay,Yes
FCT-700111,BC,TD,Internal,Maritime Legal,689725,2026-01-07,2026-01-16,2026-01-24,None,Yes
FCT-700112,QC,NBC,Internal,Maitre Cote,164815,2025-03-08,2025-03-16,2025-03-28,Lender: Missing Docs,No - Bank Dispute
FCT-700113,AB,ScotiaBank,Internal,Smith & Co,575608,2025-12-28,2026-01-10,2026-01-14,None,Yes
FCT-700114,QC,Fairstone,External,Maitre Cote,417793,2025-08-15,2025-08-29,2025-08-18,None (Pre-scheduled),Yes
FCT-700115,NS,TD,Internal,Smith & Co,634602,2025-08-16,2025-09-02,2025-08-28,None,Yes
FCT-700116,QC,Fairstone,External,Maitre Belanger,694822,2025-10-22,2025-11-09,2025-10-25,None (Pre-scheduled),Yes
FCT-700117,QC,NBC,External,Maitre Lavoie,343898,2025-02-01,2025-02-16,2025-02-23,External: Payout Delay,Yes
FCT-700118,QC,NBC,Internal,Maitre Cote,465662,2025-10-06,2025-10-25,2025-10-20,None,Yes
FCT-700119,QC,TD,Internal,Maitre Lavoie,445733,2026-01-16,2026-01-23,2026-01-29,None,Yes
FCT-700120,QC,Fairstone,External,Maitre Belanger,276946,2025-01-28,2025-02-08,2025-01-31,None (Pre-scheduled),Yes
FCT-700121,AB,BMO,External,West Coast Legal,222297,2025-12-22,2025-12-28,2026-01-13,External: Payout Delay,Yes
FCT-700122,ON,ScotiaBank,Internal,West Coast Legal,596924,2025-06-11,2025-06-30,2025-06-23,None,Yes
FCT-700123,NB,RBC,Internal,West Coast Legal,228208,2025-04-22,2025-05-03,2025-05-04,None,Yes
FCT-700124,QC,NBC,External,Maitre Cote,350536,2025-02-15,2025-03-03,2025-03-08,External: Payout Delay,Yes
FCT-700125,AB,RBC,Internal,Ontario Title Law,614961,2025-10-31,2025-11-09,2025-11-15,None,Yes
FCT-700126,AB,BMO,External,Maritime Legal,434247,2025-07-04,2025-07-12,2025-07-25,External: Payout Delay,Yes
FCT-700127,QC,NBC,Internal,Maitre Lavoie,346948,2025-09-23,2025-10-04,2025-10-07,None,Yes
FCT-700128,ON,ScotiaBank,External,Maritime Legal,367965,2025-05-06,2025-05-27,2025-05-27,External: Payout Delay,Yes
FCT-700129,BC,BMO,Internal,Smith & Co,345891,2025-11-23,2025-12-07,2025-12-06,None,Yes
FCT-700130,QC,ScotiaBank,Internal,Maitre Belanger,156572,2025-01-25,2025-02-09,2025-02-07,None,Yes
FCT-700131,QC,BMO,Internal,Maitre Belanger,685359,2025-01-28,2025-02-03,2025-02-09,None,Yes
FCT-700132,QC,RBC,External,Maitre Lavoie,182311,2025-03-04,2025-03-18,2025-03-25,External: Payout Delay,Yes
FCT-700133,QC,RBC,Internal,Maitre Belanger,323615,2025-09-03,2025-09-24,2025-09-21,Lender: Missing Docs,Yes
FCT-700134,AB,BMO,Internal,West Coast Legal,622279,2025-10-23,2025-11-07,2025-11-06,None,Yes
FCT-700135,QC,TD,Internal,Maitre Lavoie,378807,2025-08-05,2025-08-23,2025-08-22,None,Yes
FCT-700136,AB,ScotiaBank,Internal,Maritime Legal,666125,2025-02-01,2025-02-20,2025-02-13,None,Yes
FCT-700137,BC,RBC,Internal,Maritime Legal,155380,2025-11-05,2025-11-13,2025-11-20,None,Yes
FCT-700138,BC,NBC,Internal,Smith & Co,511134,2025-05-23,2025-06-03,2025-06-04,None,Yes
FCT-700139,QC,NBC,Internal,Maitre Tremblay,158759,2026-01-30,2026-02-16,2026-02-12,None,Yes
FCT-700140,ON,ScotiaBank,Internal,Smith & Co,564049,2025-01-05,2025-01-21,2025-01-20,None,Yes
FCT-700141,ON,TD,External,Maritime Legal,300184,2026-01-06,2026-01-25,2026-01-30,External: Payout Delay,Yes
FCT-700142,ON,NBC,External,Smith & Co,726225,2025-04-01,2025-04-21,2025-04-25,External: Payout Delay,Yes
FCT-700143,QC,ScotiaBank,Internal,Maitre Belanger,694262,2025-04-20,2025-04-25,2025-05-02,None,Yes
FCT-700144,AB,BMO,Internal,Smith & Co,154166,2025-02-26,2025-03-05,2025-03-11,None,Yes
FCT-700145,ON,NBC,Internal,West Coast Legal,450650,2025-09-06,2025-09-20,2025-09-22,None,Yes
FCT-700146,BC,TD,Internal,Ontario Title Law,251854,2025-08-28,2025-09-15,2025-09-11,None,Yes
FCT-700147,NS,NBC,External,Ontario Title Law,504125,2026-01-15,2026-01-29,2026-02-07,External: Payout Delay,Yes
FCT-700148,QC,RBC,External,Maitre Tremblay,696177,2025-11-27,2025-12-08,2025-12-18,External: Payout Delay,Yes
FCT-700149,QC,NBC,Internal,Maitre Belanger,236792,2025-07-20,2025-08-06,2025-08-13,Internal: Processing Backlog,Yes
FCT-700150,ON,ScotiaBank,External,West Coast Legal,190452,2026-01-11,2026-01-26,2026-02-02,External: Payout Delay,Yes
FCT-700151,AB,ScotiaBank,Internal,Ontario Title Law,357878,2025-03-16,2025-03-31,2025-04-02,None,Yes
FCT-700152,BC,BMO,External,Maritime Legal,569220,2025-05-22,2025-05-28,2025-06-10,External: Payout Delay,Yes
FCT-700153,ON,TD,External,Ontario Title Law,671805,2025-04-28,2025-05-11,2025-05-19,External: Payout Delay,Yes
FCT-700154,NS,Fairstone,Internal,Smith & Co,521645,2025-08-03,2025-08-08,2025-08-06,None (Pre-scheduled),Yes
FCT-700155,QC,RBC,Internal,Maitre Cote,587108,2025-05-16,2025-05-23,2025-06-01,None,Yes
FCT-700156,QC,TD,External,Maitre Tremblay,173464,2025-08-20,2025-09-05,2025-09-09,External: Payout Delay,Yes
FCT-700157,QC,NBC,External,Maitre Lavoie,259589,2025-03-21,2025-03-28,2025-04-09,External: Payout Delay,Yes
FCT-700158,ON,NBC,External,Smith & Co,643413,2025-04-08,2025-04-21,2025-04-29,External: Payout Delay,Yes
FCT-700159,QC,Fairstone,External,Maitre Belanger,352932,2025-04-02,2025-04-19,2025-04-04,None (Pre-scheduled),Yes
FCT-700160,AB,RBC,Internal,Ontario Title Law,624232,2025-02-02,2025-02-18,2025-02-16,None,Yes
FCT-700161,QC,BMO,Internal,Maitre Tremblay,691012,2025-07-08,2025-07-25,2025-07-23,None,Yes
FCT-700162,NS,ScotiaBank,Internal,Ontario Title Law,383204,2025-07-08,2025-07-18,2025-07-21,None,Yes
FCT-700163,QC,RBC,External,Maitre Belanger,742760,2025-05-26,2025-06-13,2025-06-19,External: Payout Delay,Yes
FCT-700164,QC,RBC,Internal,Maitre Belanger,737977,2025-05-24,2025-06-04,2025-06-05,None,Yes
FCT-700165,QC,TD,Internal,Maitre Lavoie,742491,2026-01-21,2026-01-29,2026-02-07,None,Yes
FCT-700166,QC,TD,External,Maitre Tremblay,368111,2025-07-31,2025-08-18,2025-08-21,External: Payout Delay,Yes
FCT-700167,QC,NBC,External,Maitre Belanger,663200,2026-01-07,2026-01-27,2026-01-27,External: Payout Delay,Yes
FCT-700168,BC,BMO,External,Maritime Legal,317630,2026-01-28,2026-02-17,2026-02-18,External: Payout Delay,Yes
FCT-700169,ON,ScotiaBank,Internal,West Coast Legal,740544,2025-10-13,2025-11-03,2025-10-30,None,Yes
FCT-700170,QC,NBC,Internal,Maitre Lavoie,453242,2025-08-30,2025-09-14,2025-09-14,None,Yes
FCT-700171,QC,RBC,Internal,Maitre Tremblay,340470,2026-01-27,2026-02-02,2026-02-13,None,Yes
FCT-700172,QC,NBC,Internal,Maitre Lavoie,206284,2025-12-27,2026-01-14,2026-01-13,None,Yes
FCT-700173,AB,TD,Internal,West Coast Legal,656692,2025-08-08,2025-08-21,2025-09-04,Internal: Processing Backlog,Yes
FCT-700174,ON,TD,Internal,Ontario Title Law,305976,2025-11-18,2025-11-29,2025-12-10,Internal: Processing Backlog,Yes
FCT-700175,BC,ScotiaBank,Internal,Smith & Co,267104,2026-01-08,2026-01-23,2026-01-24,None,Yes
FCT-700176,BC,BMO,Internal,Ontario Title Law,176664,2026-02-01,2026-02-09,2026-02-14,None,Yes
FCT-700177,AB,RBC,External,Maritime Legal,385744,2025-01-31,2025-02-12,2025-02-24,External: Payout Delay,Yes
FCT-700178,QC,TD,Internal,Maitre Tremblay,618308,2025-11-27,2025-12-10,2025-12-12,None,Yes
FCT-700179,ON,TD,External,West Coast Legal,306020,2025-03-01,2025-03-15,2025-03-24,External: Payout Delay,Yes
FCT-700180,QC,BMO,Internal,Maitre Lavoie,296144,2025-02-10,2025-02-26,2025-02-24,None,Yes
FCT-700181,NS,RBC,Internal,Maritime Legal,461193,2025-11-28,2025-12-15,2025-12-12,None,Yes
FCT-700182,ON,ScotiaBank,Internal,Smith & Co,347478,2025-02-18,2025-03-09,2025-03-07,None,Yes
FCT-700183,ON,BMO,External,Ontario Title Law,573987,2025-12-09,2025-12-17,2026-01-12,External: Payout Delay,Yes
FCT-700184,NS,NBC,External,Maritime Legal,332813,2025-12-09,2025-12-16,2025-12-29,External: Payout Delay,Yes
FCT-700185,QC,NBC,Internal,Maitre Lavoie,654474,2025-09-28,2025-10-11,2025-10-10,None,Yes
FCT-700186,ON,NBC,Internal,Maritime Legal,719365,2025-02-13,2025-02-27,2025-02-26,None,Yes
FCT-700187,NB,NBC,External,West Coast Legal,503204,2025-12-19,2025-12-31,2026-01-07,External: Payout Delay,Yes
FCT-700188,QC,ScotiaBank,Internal,Maitre Belanger,598087,2025-11-30,2025-12-11,2025-12-13,None,Yes
FCT-700189,QC,TD,External,Maitre Cote,526978,2025-11-17,2025-11-29,2025-12-07,External: Payout Delay,Yes
FCT-700190,QC,NBC,Internal,Maitre Belanger,216811,2025-10-19,2025-10-26,2025-11-10,Internal: Processing Backlog,Yes
FCT-700191,QC,NBC,External,Maitre Belanger,682013,2025-10-05,2025-10-14,2025-11-04,External: Payout Delay,Yes
FCT-700192,NB,BMO,External,West Coast Legal,532654,2025-07-29,2025-08-09,2025-08-18,External: Payout Delay,Yes
FCT-700193,BC,ScotiaBank,Internal,Maritime Legal,251283,2025-08-18,2025-08-23,2025-08-30,None,Yes
FCT-700194,BC,ScotiaBank,Internal,West Coast Legal,203627,2025-08-06,2025-08-17,2025-08-21,None,Yes
FCT-700195,ON,Fairstone,Internal,Maritime Legal,701580,2025-07-20,2025-08-08,2025-07-22,None (Pre-scheduled),Yes
FCT-700196,NB,ScotiaBank,Internal,Maritime Legal,307099,2025-11-21,2025-12-09,2025-12-03,None,Yes
FCT-700197,AB,BMO,External,Maritime Legal,578205,2025-08-15,2025-08-24,2025-09-03,External: Payout Delay,Yes
FCT-700198,AB,BMO,External,Smith & Co,408898,2025-11-25,2025-12-07,2025-12-18,External: Payout Delay,Yes
FCT-700199,QC,BMO,Internal,Maitre Tremblay,659922,2025-05-22,2025-06-10,2025-06-06,None,Yes
FCT-700200,QC,RBC,Internal,Maitre Cote,524417,2025-10-11,2025-10-31,2025-10-24,None,No - Bank Dispute
FCT-700201,NS,ScotiaBank,External,Ontario Title Law,254829,2025-05-23,2025-06-12,2025-06-13,External: Payout Delay,Yes
FCT-700202,BC,Fairstone,External,Smith & Co,292787,2026-01-24,2026-02-11,2026-01-27,None (Pre-scheduled),Yes
FCT-700203,QC,RBC,External,Maitre Tremblay,540689,2026-01-01,2026-01-21,2026-01-30,Lender: Missing Docs,Yes
FCT-700204,ON,BMO,Internal,West Coast Legal,302961,2025-03-04,2025-03-09,2025-03-17,None,Yes
FCT-700205,QC,NBC,External,Maitre Belanger,404982,2025-08-26,2025-09-12,2025-09-21,Lender: Missing Docs,Yes
FCT-700206,ON,ScotiaBank,External,Smith & Co,608191,2025-12-01,2025-12-19,2025-12-21,External: Payout Delay,Yes
FCT-700207,QC,RBC,Internal,Maitre Tremblay,647990,2025-12-14,2025-12-27,2025-12-30,None,Yes
FCT-700208,NS,ScotiaBank,Internal,Smith & Co,551293,2026-01-27,2026-02-05,2026-02-10,None,Yes
FCT-700209,ON,BMO,External,Ontario Title Law,177474,2025-05-20,2025-06-06,2025-06-11,External: Payout Delay,Yes
FCT-700210,QC,TD,Internal,Maitre Belanger,539311,2025-02-19,2025-03-04,2025-03-04,None,Yes
FCT-700211,NB,NBC,External,Maritime Legal,715111,2025-05-10,2025-05-27,2025-05-31,External: Payout Delay,No - Bank Dispute
FCT-700212,QC,NBC,Internal,Maitre Cote,435872,2025-09-02,2025-09-16,2025-09-15,None,Yes
FCT-700213,ON,TD,Internal,Smith & Co,510813,2025-06-18,2025-07-09,2025-07-02,None,Yes
FCT-700214,NS,NBC,Internal,Smith & Co,218669,2025-08-26,2025-09-10,2025-09-09,None,Yes
FCT-700215,QC,TD,Internal,Maitre Lavoie,675457,2025-02-18,2025-03-07,2025-03-05,None,Yes
FCT-700216,BC,TD,Internal,Ontario Title Law,389295,2025-10-07,2025-10-14,2025-10-21,None,Yes
FCT-700217,ON,ScotiaBank,External,Ontario Title Law,401269,2025-03-19,2025-03-26,2025-04-10,External: Payout Delay,Yes
FCT-700218,ON,NBC,Internal,Smith & Co,362738,2025-02-08,2025-02-27,2025-02-21,None,Yes
FCT-700219,QC,TD,External,Maitre Lavoie,306317,2025-02-17,2025-02-22,2025-03-17,Lender: Missing Docs,Yes
FCT-700220,NB,TD,Internal,Maritime Legal,557977,2025-07-10,2025-07-27,2025-08-06,Internal: Processing Backlog,Yes
FCT-700221,QC,TD,Internal,Maitre Tremblay,748826,2025-10-13,2025-10-30,2025-10-26,None,Yes
FCT-700222,QC,NBC,Internal,Maitre Tremblay,267530,2025-10-07,2025-10-16,2025-10-27,Lender: Missing Docs,Yes
FCT-700223,NS,NBC,Internal,Ontario Title Law,310154,2025-03-04,2025-03-18,2025-03-18,None,Yes
FCT-700224,QC,NBC,Internal,Maitre Lavoie,695581,2025-04-26,2025-05-14,2025-05-08,None,Yes
FCT-700225,QC,NBC,Internal,Maitre Tremblay,185441,2025-07-28,2025-08-16,2025-08-14,None,Yes
FCT-700226,NS,TD,Internal,Ontario Title Law,423753,2025-02-25,2025-03-08,2025-03-09,None,Yes
FCT-700227,AB,Fairstone,External,Smith & Co,672401,2025-05-24,2025-06-13,2025-05-26,None (Pre-scheduled),Yes
FCT-700228,BC,NBC,External,West Coast Legal,639887,2025-08-04,2025-08-15,2025-08-23,External: Payout Delay,Yes
FCT-700229,AB,BMO,External,Maritime Legal,464315,2025-02-09,2025-02-18,2025-03-02,External: Payout Delay,Yes
FCT-700230,QC,ScotiaBank,Internal,Maitre Cote,519589,2025-01-23,2025-02-12,2025-02-09,None,Yes
